"会員No","担当者名","担当者名カナ","担当者連絡先電話番号","担当者連絡先メールアドレス","交渉可否","setonagi"
"1","清水太郎","シミズタロウ","090-1158-8878","t-shimizu@kurahashi.co.jp","",""
"3","ﾊﾛｰｽﾞ太郎","ﾊﾛｰｽﾞﾀﾛｳ","090-1158-0001","t-halows@test.com","",""
"4","なかやま 太郎","ナカヤマ タロウ","080-1156-2222","t-nakayama@test.com","",""
"5","てすと","てすと","090-1111-1111","test@test.com","",""
"6","島谷浩二","シマタニ","090-1111-2222","shimatani@test.com","",""
"7","多治米 担当","タジメタントウ","090-9999-1234","test@gmail.com","",""
"8","瀬戸凪太郎","セトナギタロウ","090-1111-0002","info@arcion.jp","","1"
"9","明王台 担当","ミョウオウダイ タントウ","080-9999-1232","myououdai@onlyone.test","0",""
"10","バイヤー","バイヤー","090-9999-0022","by@onlyone.test","1",""
"11","宮浦 担当","宮浦 タントウ","080-9999-1240","miyaura@onlyone.test","0",""
"12","向島高須 担当","向島高須 タントウ","080-9999-1239","mukaishima_Takasu@onlyone.test","0",""
"13","笠岡 担当2","笠岡 タントウ2","080-9999-1238","kasaoka2@onlyone.test","0",""
"14","千田 担当","千田 タントウ","080-9999-1237","sennda@onlyone.test","0",""
"15","瀬戸 担当","セト タントウ","080-9999-1236","seto@onlyone.test","0",""
"16","木之庄 担当","キノショウ タントウ","080-9999-1234","kinosyou@onlyone.test","0",""
"17","浦崎 担当","ウラサキ タントウ","080-9999-1233","urasaki@onlyone.test","0",""
"18","駅家山手 担当","駅家山手 タントウ","080-9999-1244","ekiya_yamate@onlyone.test","0",""
"19","沖野上 担当","沖野上 タントウ","080-9999-1245","okinoue@onlyone.test","0",""
"20","笠岡 担当2","笠岡 タントウ2","080-9999-1255","kasaoka@onlyone.test","0",""
"21","本店 テスト①","ホンテン テスト①","090-1234-0000","takanobu@takanobu.test","1",""
"22"," 天満屋府中店 テスト"," 天満屋府中店 テスト","090-1234-0001","tenmaya@takanobu.test","0",""
"23","福山営業所 テスト","福山営業所 テスト","090-1234-0002","fukuyama@takanobu.test","0",""
